epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
75,11077.5,0.47304,0.57752,1.02435,0.86317,0.92481,0.95475,0.8561,0.41255,0.48859,0.97032,0.00033425,0.00033425,0.00033425
76,11226.6,0.4675,0.58638,1.04407,0.81288,0.88753,0.90976,0.81697,0.42292,0.55007,0.97808,0.000321875,0.000321875,0.000321875
77,11372.8,0.48398,0.58369,1.03845,0.85995,0.88948,0.93633,0.82458,0.4484,0.54525,1.00402,0.0003095,0.0003095,0.0003095
78,11518.8,0.44173,0.56313,1.01155,0.88754,0.91766,0.9482,0.8588,0.4111,0.49146,0.96934,0.000297125,0.000297125,0.000297125
79,11662.8,0.44529,0.56606,1.00754,0.87884,0.92923,0.94429,0.85265,0.40167,0.51354,0.96063,0.00028475,0.00028475,0.00028475
80,11805,0.45239,0.5255,1.02559,0.89546,0.91831,0.95993,0.8676,0.40609,0.49218,0.95531,0.000272375,0.000272375,0.000272375
81,11952.7,0.46421,0.55499,1.02637,0.87312,0.86558,0.94661,0.85464,0.40603,0.49093,0.9577,0.00026,0.00026,0.00026
82,12110,0.4419,0.51784,1.01597,0.95328,0.89093,0.9632,0.86968,0.40066,0.45062,0.95951,0.000247625,0.000247625,0.000247625
83,12264,0.44643,0.49685,1.01703,0.92505,0.89767,0.96031,0.86632,0.41164,0.44976,0.97425,0.00023525,0.00023525,0.00023525
84,12412.4,0.43616,0.50442,1.00768,0.88563,0.8882,0.94319,0.84846,0.39858,0.48323,0.96309,0.000222875,0.000222875,0.000222875
85,12561.3,0.43328,0.53036,1.00554,0.87075,0.82773,0.92613,0.84311,0.40163,0.53004,0.95826,0.0002105,0.0002105,0.0002105
86,12711.6,0.40838,0.50334,0.97886,0.79831,0.88629,0.90684,0.82204,0.38277,0.5733,0.94173,0.000198125,0.000198125,0.000198125
87,12862.2,0.43905,0.50487,1.01737,0.91269,0.88821,0.95297,0.86877,0.3874,0.46754,0.93905,0.00018575,0.00018575,0.00018575
88,13011.4,0.4186,0.48394,0.99271,0.81745,0.88012,0.9285,0.85023,0.38204,0.53008,0.94782,0.000173375,0.000173375,0.000173375
89,13160.1,0.43257,0.49263,1.00918,0.84036,0.89537,0.94264,0.85526,0.38908,0.48934,0.95807,0.000161,0.000161,0.000161
90,13309.9,0.42713,0.49127,1.00775,0.81236,0.88007,0.93252,0.84716,0.38438,0.51917,0.95308,0.000148625,0.000148625,0.000148625
91,13459.5,0.29619,0.35426,0.88588,0.77673,0.88681,0.9307,0.84673,0.38732,0.53838,0.95325,0.00013625,0.00013625,0.00013625
92,13609.4,0.29829,0.34144,0.89844,0.82364,0.88831,0.94121,0.86333,0.38165,0.48762,0.95273,0.000123875,0.000123875,0.000123875
93,13758.4,0.29436,0.34164,0.90061,0.8672,0.84729,0.93513,0.85963,0.37726,0.49828,0.94948,0.0001115,0.0001115,0.0001115
94,13907.6,0.29457,0.32426,0.89103,0.92061,0.8915,0.95545,0.87217,0.37729,0.45514,0.94926,9.9125e-05,9.9125e-05,9.9125e-05
95,14056.2,0.29365,0.32711,0.90155,0.92917,0.87733,0.95863,0.87179,0.3723,0.44652,0.93851,8.675e-05,8.675e-05,8.675e-05
96,14204.7,0.29014,0.33298,0.8923,0.92405,0.89736,0.95729,0.87215,0.37163,0.45805,0.93836,7.4375e-05,7.4375e-05,7.4375e-05
97,14353.7,0.28689,0.31506,0.88735,0.88935,0.90873,0.95401,0.87209,0.36993,0.45399,0.93857,6.2e-05,6.2e-05,6.2e-05
98,14503.1,0.28022,0.31244,0.88099,0.90415,0.87841,0.95586,0.87341,0.37109,0.44271,0.94684,4.9625e-05,4.9625e-05,4.9625e-05
99,14652.2,0.28021,0.30831,0.89104,0.94407,0.87754,0.95938,0.87874,0.36628,0.4326,0.94285,3.725e-05,3.725e-05,3.725e-05
100,14801.7,0.28525,0.31315,0.89941,0.89161,0.90104,0.9569,0.87887,0.36321,0.43619,0.93729,2.4875e-05,2.4875e-05,2.4875e-05
